Time	Event
155	:
155	y,b,haveviewer
155	y,b,kneel
155	y,b,manipulate,viewer
161	y,b,lookat,viewer
211	y,e,lookat,viewer
214	y,b,view,long
318	y,e,view,long
319	y,b,lookat,viewer
369	y,e,lookat,viewer
370	y,b,lookat,pictcard
424	y,b,sit
424	y,e,kneel
519	x,b,walk
541	x,e,walk
545	y,e,lookat,pictcard
546	y,b,lookat,partner
546	y,e,sit
564	y,b,walk
611	x,b,kneel
612	x,b,laugh
620	x,e,laugh
634	y,e,lookat,partner
663	x,e,kneel
713	x,b,automanipulate
836	x,b,laugh
845	x,e,automanipulate
859	x,e,laugh
868	x,b,automanipulate
873	x,b,sit
898	x,e,lookat,partner
955	x,e,automanipulate
973	x,b,automanipulate
1026	x,b,order,viewer
1027	x,e,automanipulate
1105	y,b,lookat,viewer
1110	y,e,walk
1113	x,b,lookat,viewer
1119	y,e,manipulate,viewer
1120	y,e,haveviewer
1123	x,b,haveviewer
1125	x,b,manipulate,viewer
1136	y,b,kneel
1147	y,b,automanipulate
1167	y,b,immobile
1280	x,e,lookat,viewer
1281	x,b,view,long
1282	y,e,immobile
1303	y,e,automanipulate
1344	y,b,automanipulate
1349	y,b,sit
1349	y,e,kneel
1456	y,b,immobile
1475	x,e,view,long
1476	x,b,glanceat,viewer
1495	x,e,glanceat,viewer
1502	x,b,view,short
1505	x,e,view,short
1506	x,b,glanceat,viewer
1531	x,e,glanceat,viewer
1532	x,b,view,long
1604	y,e,automanipulate
1604	y,e,immobile
1609	y,b,order,viewer
1616	y,b,automanipulate
1619	x,e,view,long
1620	x,b,glanceat,viewer
1641	y,b,immobile
1669	x,e,glanceat,viewer
1674	x,b,glanceat,partner
1680	x,e,glanceat,partner
1713	y,e,immobile
1719	y,e,automanipulate
1720	y,e,lookat,viewer
1721	y,e,sit
1722	y,b,crawl
1793	x,b,lookat,pictcard
1974	x,e,lookat,pictcard
1987	x,b,automanipulate
2025	x,b,lookat,partner
2094	x,e,automanipulate
2101	x,b,lookat,pictcard
2101	x,e,lookat,partner
2110	y,e,crawl
2171	x,b,glanceat,viewer
2184	x,e,lookat,pictcard
2223	x,e,glanceat,viewer
2247	x,b,view,long
2364	y,e,lookat,pictcard
2366	y,b,lookat,viewer
2368	y,b,automanipulate
2370	y,b,lookat,partner
2401	x,e,view,long
2402	x,b,lookat,viewer
2406	y,b,sit
