TIME	EVENT
1	:
2	AM,IDR,FIZ
3	RO,IDR,FIZ
4	AZ,ICE,FIZ
5	MA,ICE,FDR
6	AZ,IIZ,FCE
7	RO,IIZ,FDR
8	AM,IIZ,FDR
9	VE,IIZ,FDR
10	AZ,ICE,FDR
11	&
12	:
13	AM,IDR,FIZ
14	RO,IDR,FIZ
15	AZ,ICE,FIZ
16	MA,ICE,FDR
17	AZ,IIZ,FCE
18	RO,IIZ,FDR
19	AM,IIZ,FDR
20	VE,IIZ,FDR
21	AZ,ICE,FDR
22	&
23	:
24	AM,IDR,FIZ
25	RO,IDR,FIZ
26	AZ,ICE,FIZ
27	MA,ICE,FDR
28	AZ,IIZ,FCE
29	RO,IIZ,FDR
30	AM,IIZ,FDR
31	VE,IIZ,FDR
32	AZ,ICE,FDR
33	&
34	:
35	AM,IDR,FCE
36	RO,IDR,FIZ
37	AM,ICE,FIZ
38	AZ,ICE,FIZ
39	MA,ICE,FDR
40	AZ,IIZ,FCE
41	AM,IIZ,FCE
42	RO,IIZ,FDR
43	VE,IIZ,FDR
44	AZ,ICE,FDR
45	&
46	:
47	AM,IDR,FCE
48	RO,IDR,FCE
49	VE,IIZ,FCE
50	VE,ICE,FIZ
51	RO,ICE,FIZ
52	AM,ICE,FIZ
53	AZ,ICE,FIZ
54	MA,ICE,FDR
55	AZ,IIZ,FCE
56	AM,IIZ,FCE
57	RO,IIZ,FDR
58	AM,ICE,FDR
59	VE,IIZ,FDR
60	AZ,ICE,FDR
61	&
62	:
63	AM,IDR,FIZ
64	RO,IDR,FIZ
65	AZ,ICE,FIZ
66	MA,ICE,FDR
67	AZ,IIZ,FCE
68	RO,IIZ,FDR
69	AM,IIZ,FDR
70	VE,IIZ,FDR
71	AZ,ICE,FDR
72	&
73	:
74	AZ,ICE,FIZ
75	AM,IDR,FIZ
76	AM,IDR,FIZ
77	MA,ICE,FDR
78	RO,IIZ,FDR
79	AM,IIZ,FDR
80	AZ,IIZ,FCE
81	VE,IIZ,FDR
82	AZ,ICE,FDR
83	&
84	:
85	AM,IDR,FIZ
86	RO,IDR,FIZ
87	AZ,ICE,FIZ
88	MA,ICE,FDR
89	AZ,IIZ,FCE
90	RO,IIZ,FDR
91	AM,IIZ,FDR
92	VE,IIZ,FDR
93	AZ,ICE,FDR
94	&
95	:
96	AZ,ICE,FIZ
97	AM,IDR,FIZ
98	RO,IDR,FIZ
99	MA,ICE,FDR
100	RO,IIZ,FDR
101	AM,IIZ,FCE
102	AZ,IIZ,FCE
103	VE,IIZ,FIZ
104	AZ,ICE,FIZ
105	AM,ICE,FDR
106	AZ,IIZ,FCE
107	VE,IIZ,FDR
108	AZ,ICE,FDR
109	&
110	:
111	AM,IDR,FIZ
112	AZ,ICE,FIZ
113	RO,IDR,FIZ
114	MA,ICE,FDR
115	RO,IIZ,FDR
116	AZ,IIZ,FCE
